world_pop_mig_186_countries 2
world_pop_mig_186_countries,,,,,
country,year,population,netMigration,population_in_millions,Class
Afghanistan,2023,42239854.0,-65846.0,42,1
Afghanistan,2022,41128771.0,-65846.0,41,1
Afghanistan,2021,40099462.0,-183672.0,40,1
Afghanistan,2020,38972230.0,166821.0,38,1
Afghanistan,2019,37769499.0,-8082.0,37,1
Afghanistan,2018,36686784.0,-47205.0,36,1
Afghanistan,2017,35643418.0,-47090.0,35,1
Afghanistan,2016,34636207.0,-90238.0,34,1
Afghanistan,2015,33753499.0,-281739.0,33,1
Afghanistan,2014,32716210.0,255611.0,32,1
Afghanistan,2013,31541209.0,48076.0,31,1
Afghanistan,2012,30466479.0,105905.0,30,1
Afghanistan,2011,29249157.0,418796.0,29,1
Afghanistan,2010,28189672.0,-141355.0,28,1
Afghanistan,2009,27385307.0,-58881.0,27,1
Afghanistan,2008,26427199.0,221000.0,26,1
Afghanistan,2007,25903301.0,-942887.0,25,1
Afghanistan,2006,25442944.0,62684.0,25,1
Afghanistan,2005,24411191.0,252185.0,24,1
Afghanistan,2004,23553551.0,-248616.0,23,1
Afghanistan,2003,22645130.0,388632.0,22,1
Afghanistan,2002,21000256.0,1327074.0,21,1
Afghanistan,2001,19688632.0,-192286.0,19,1
Afghanistan,2000,19542982.0,-1007135.0,19,1
Afghanistan,1999,19262847.0,85758.0,19,1
Afghanistan,1998,18493132.0,35740.0,18,1
Afghanistan,1997,17788819.0,6129.0,17,1
Afghanistan,1996,17106595.0,27194.0,17,1
Afghanistan,1995,16418912.0,71824.0,16,1
Afghanistan,1994,15455555.0,665410.0,15,1
Afghanistan,1993,14003760.0,1171818.0,14,1
Afghanistan,1992,12057433.0,1834556.0,12,1
Afghanistan,1991,10745167.0,39926.0,10,1
Afghanistan,1990,10694796.0,-666001.0,10,1
Afghanistan,1989,10673168.0,2683.0,10,1
Afghanistan,1988,10383460.0,-89837.0,10,1
Afghanistan,1987,10322758.0,-402606.0,10,1
Afghanistan,1986,10448442.0,-427073.0,10,1
