country,year,population,netMigration,population_in_millions,Class
Afghanistan,2023,42239854,-65846,42,1
Afghanistan,2022,41128771,-65846,41,1
Afghanistan,2021,40099462,-183672,40,1
Afghanistan,2020,38972230,166821,38,1
Afghanistan,2019,37769499,-8082,37,1
Afghanistan,2018,36686784,-47205,36,1
Afghanistan,2017,35643418,-47090,35,1
Afghanistan,2016,34636207,-90238,34,1
Afghanistan,2015,33753499,-281739,33,1
Afghanistan,2014,32716210,255611,32,1
Afghanistan,2013,31541209,48076,31,1
Afghanistan,2012,30466479,105905,30,1
Afghanistan,2011,29249157,418796,29,1
Afghanistan,2010,28189672,-141355,28,1
Afghanistan,2009,27385307,-58881,27,1
Afghanistan,2008,26427199,221000,26,1
Afghanistan,2007,25903301,-942887,25,1
Afghanistan,2006,25442944,62684,25,1
Afghanistan,2005,24411191,252185,24,1
Afghanistan,2004,23553551,-248616,23,1
Afghanistan,2003,22645130,388632,22,1
Afghanistan,2002,21000256,1327074,21,1
Afghanistan,2001,19688632,-192286,19,1
Afghanistan,2000,19542982,-1007135,19,1
Afghanistan,1999,19262847,85758,19,1
Afghanistan,1998,18493132,35740,18,1
Afghanistan,1997,17788819,6129,17,1
Afghanistan,1996,17106595,27194,17,1
Afghanistan,1995,16418912,71824,16,1
Afghanistan,1994,15455555,665410,15,1
Afghanistan,1993,14003760,1171818,14,1
Afghanistan,1992,12057433,1834556,12,1
Afghanistan,1991,10745167,39926,10,1
Afghanistan,1990,10694796,-666001,10,1
Afghanistan,1989,10673168,2683,10,1
Afghanistan,1988,10383460,-89837,10,1
Afghanistan,1987,10322758,-402606,10,1
Afghanistan,1986,10448442,-427073,10,1
Afghanistan,1985,10512221,-210572,10,1
Afghanistan,1984,10243686,322022,10,1
Afghanistan,1983,9951449,-192869,9,1
Afghanistan,1982,10088289,-586943,10,1
Afghanistan,1981,11155195,-2127145,11,1
Afghanistan,1980,12486631,-1205401,12,1
Afghanistan,1979,12986369,-481199,12,1
Afghanistan,1978,12938862,-117186,12,1
Afghanistan,1977,12687301,-83115,12,1
Afghanistan,1976,12425267,-85430,12,1
Afghanistan,1975,12157386,-44418,12,1
Afghanistan,1974,11869879,-20009,11,1
Afghanistan,1973,11575305,-3030,11,1
Afghanistan,1972,11286753,-4050,11,1
Afghanistan,1971,11015857,-12801,11,1
Afghanistan,1970,10752971,4458,10,1
Afghanistan,1969,10494489,2029,10,1
Afghanistan,1968,10247780,3333,10,1
Afghanistan,1967,10010030,6824,10,1
Afghanistan,1966,9783147,3563,9,1
Afghanistan,1965,9565147,10695,9,1
Afghanistan,1964,9355514,7079,9,1
Afghanistan,1963,9157465,6681,9,1
Afghanistan,1962,8969047,7016,8,1
Afghanistan,1961,8790140,6109,8,1
Afghanistan,1960,8622466,2606,8,1
Albania,2023,2745972,-8000,2,1
Albania,2022,2777689,-8000,2,1
Albania,2021,2811666,-10612,2,1
Albania,2020,2837849,-9117,2,1
Albania,2019,2854191,-8889,2,1
Albania,2018,2866376,-9106,2,1
Albania,2017,2873457,-9768,2,1
Albania,2016,2876101,-10887,2,1
Albania,2015,2880703,-12240,2,1
Albania,2014,2889104,-14265,2,1
Albania,2013,2895092,-16845,2,1
Albania,2012,2900401,-19946,2,1
Albania,2011,2905195,-24465,2,1
Albania,2010,2913021,-29330,2,1
Albania,2009,2927519,-34116,2,1
Albania,2008,2947314,-38736,2,1
Albania,2007,2970017,-43019,2,1
Albania,2006,2992547,-47174,2,1
Albania,2005,3011487,-50855,3,1
Albania,2004,3026939,-54383,3,1
Albania,2003,3039616,-57308,3,1
Albania,2002,3051010,-59876,3,1
Albania,2001,3060173,-62059,3,1
Albania,2000,3089027,-63610,3,1
Albania,1999,3108778,-64787,3,1
Albania,1998,3128530,-65616,3,1
Albania,1997,3148281,-65975,3,1
Albania,1996,3168033,-65800,3,1
Albania,1995,3187784,-65106,3,1
Albania,1994,3207536,-63700,3,1
Albania,1993,3227287,-61925,3,1
Albania,1992,3247039,-59634,3,1
Albania,1991,3266790,-56599,3,1
Albania,1990,3286542,-52723,3,1
Albania,1989,3227943,-48054,3,1
Albania,1988,3142336,-42393,3,1
Albania,1987,3083605,-37189,3,1
Albania,1986,3022635,-32143,3,1
Albania,1985,2964762,-27468,2,1
Albania,1984,2904429,-23253,2,1
Albania,1983,2843960,-19231,2,1
Albania,1982,2784278,-15706,2,1
Albania,1981,2726056,-12432,2,1
Albania,1980,2671997,-9135,2,1
Albania,1979,2617832,-6146,2,1
Albania,1978,2566266,-3324,2,1
Albania,1977,2513546,-683,2,1
Albania,1976,2458526,1646,2,1
Albania,1975,2404831,3922,2,1
Albania,1974,2350124,5834,2,1
Albania,1973,2296752,7346,2,1
Albania,1972,2243126,8796,2,1
Albania,1971,2187853,10007,2,1
Albania,1970,2135479,11102,2,1
Albania,1969,2081695,11991,2,1
Albania,1968,2022272,12504,2,1
Albania,1967,1965598,13164,1,1
Albania,1966,1914573,13747,1,1
Albania,1965,1864791,14209,1,1
Albania,1964,1814135,14612,1,1
Albania,1963,1762621,15007,1,1
Albania,1962,1711319,15288,1,1
Albania,1961,1659800,15424,1,1
Albania,1960,1608800,15540,1,1
Algeria,2023,45606480,-9999,45,1
Algeria,2022,44903225,-9999,44,1
Algeria,2021,44177969,-18797,44,1
Algeria,2020,43451666,-18797,43,1
Algeria,2019,42705368,-36386,42,1
Algeria,2018,41927007,-36227,41,1
Algeria,2017,41136546,-36448,41,1
Algeria,2016,40339329,-36227,40,1
Algeria,2015,39543154,-36371,39,1
Algeria,2014,38760168,-36088,38,1
Algeria,2013,38000626,-35412,38,1
Algeria,2012,37260563,-35119,37,1
Algeria,2011,36543541,-34829,36,1
Algeria,2010,35856344,-33071,35,1
Algeria,2009,35196037,-33857,35,1
Algeria,2008,34569592,-33931,34,1
Algeria,2007,33983827,-37062,33,1
Algeria,2006,33435080,-32745,33,1
Algeria,2005,32956690,-111256,32,1
Algeria,2004,32510186,-38621,32,1
Algeria,2003,32055883,-39330,32,1
Algeria,2002,31624696,-36255,31,1
Algeria,2001,31200985,-25798,31,1
Algeria,2000,30774621,-18994,30,1
Algeria,1999,30346083,-12084,30,1
Algeria,1998,29924668,-27387,29,1
Algeria,1997,29476031,14071,29,1
Algeria,1996,28984634,-9849,28,1
Algeria,1995,28478022,-28581,28,1
Algeria,1994,27937006,-31916,27,1
Algeria,1993,27354327,-26202,27,1
Algeria,1992,26748303,-25186,26,1
Algeria,1991,26133905,-23561,26,1
Algeria,1990,25518074,-21641,25,1
Algeria,1989,24889507,-19900,24,1
Algeria,1988,24243018,-18817,24,1
Algeria,1987,23586101,-18564,23,1
Algeria,1986,22882553,59893,22,1
Algeria,1985,22132905,64927,22,1
Algeria,1984,21393530,56796,21,1
Algeria,1983,20682111,49152,20,1
Algeria,1982,20000096,41604,20,1
Algeria,1981,19351357,34865,19,1
Algeria,1980,18739378,29298,18,1
Algeria,1979,18166981,24300,18,1
Algeria,1978,17632645,19312,17,1
Algeria,1977,17134192,5348,17,1
Algeria,1976,16500516,340146,16,1
Algeria,1975,15724692,338533,15,1
Algeria,1974,15153602,-27618,15,1
Algeria,1973,14786469,-29960,14,1
Algeria,1972,14439748,-32867,14,1
Algeria,1971,14110271,-35129,14,1
Algeria,1970,13795915,-37056,13,1
Algeria,1969,13491016,-29825,13,1
Algeria,1968,13190975,-25027,13,1
Algeria,1967,12897115,-25103,12,1
Algeria,1966,12613389,-31076,12,1
Algeria,1965,12381256,-122843,12,1
Algeria,1964,12179099,-94017,12,1
Algeria,1963,11969451,-110250,11,1
Algeria,1962,11778260,-99071,11,1
Algeria,1961,11598608,-111448,11,1
Algeria,1960,11394307,-55202,11,1
American Samoa,2023,43914,-790,0,1
American Samoa,2022,44273,-810,0,1
American Samoa,2021,45035,-1646,0,1
American Samoa,2020,46189,-1636,0,1
American Samoa,2019,47321,-1650,0,1
American Samoa,2018,48424,-1652,0,1
American Samoa,2017,49463,-1652,0,1
American Samoa,2016,50448,-1641,0,1
American Samoa,2015,51368,-1629,0,1
American Samoa,2014,52217,-1602,0,1
American Samoa,2013,52995,-1575,0,1
American Samoa,2012,53691,-1538,0,1
American Samoa,2011,54310,-1509,0,1
American Samoa,2010,54849,-1475,0,1
American Samoa,2009,55366,-1527,0,1
American Samoa,2008,55891,-1586,0,1
American Samoa,2007,56383,-1618,0,1
American Samoa,2006,56837,-1661,0,1
American Samoa,2005,57254,-1697,0,1
American Samoa,2004,57626,-1701,0,1
American Samoa,2003,57941,-1647,0,1
American Samoa,2002,58177,-1583,0,1
American Samoa,2001,58324,-1503,0,1
American Samoa,2000,58230,-1158,0,1
American Samoa,1999,57594,-452,0,1
American Samoa,1998,56603,-451,0,1
American Samoa,1997,55578,-405,0,1
American Samoa,1996,54500,-385,0,1
American Samoa,1995,53401,-419,0,1
American Samoa,1994,52288,-476,0,1
American Samoa,1993,51174,-522,0,1
American Samoa,1992,50078,-516,0,1
American Samoa,1991,48992,-505,0,1
American Samoa,1990,47818,-251,0,1
American Samoa,1989,46288,342,0,1
American Samoa,1988,44532,355,0,1
American Samoa,1987,42842,354,0,1
American Samoa,1986,41221,355,0,1
American Samoa,1985,39663,351,0,1
American Samoa,1984,38168,347,0,1
American Samoa,1983,36735,343,0,1
American Samoa,1982,35367,317,0,1
American Samoa,1981,34059,292,0,1
American Samoa,1980,32886,115,0,1
American Samoa,1979,32045,-307,0,1
American Samoa,1978,31428,-294,0,1
American Samoa,1977,30816,-282,0,1
American Samoa,1976,30198,-267,0,1
American Samoa,1975,29573,-249,0,1
American Samoa,1974,29012,-376,0,1
American Samoa,1973,28529,-415,0,1
American Samoa,1972,28063,-405,0,1
American Samoa,1971,27593,-399,0,1
American Samoa,1970,27075,-308,0,1
American Samoa,1969,26396,-77,0,1
American Samoa,1968,25608,-69,0,1
American Samoa,1967,24848,-124,0,1
American Samoa,1966,24122,-42,0,1
American Samoa,1965,23391,-90,0,1
American Samoa,1964,22656,-97,0,1
American Samoa,1963,21949,-96,0,1
American Samoa,1962,21272,-97,0,1
American Samoa,1961,20626,-93,0,1
American Samoa,1960,20085,-260,0,1
Angola,2023,36684202,-1000,36,1
Angola,2022,35588987,-1000,35,1
Angola,2021,34503774,29089,34,1
Angola,2020,33428486,7557,33,1
Angola,2019,32353588,58986,32,1
Angola,2018,31273533,61632,31,1
Angola,2017,30208628,77733,30,1
Angola,2016,29154746,91623,29,1
Angola,2015,28127721,74170,28,1
Angola,2014,27128337,84532,27,1
Angola,2013,26147002,91528,26,1
Angola,2012,25188292,96056,25,1
Angola,2011,24259111,94709,24,1
Angola,2010,23364185,90016,23,1
Angola,2009,22507674,77265,22,1
Angola,2008,21691522,73804,21,1
Angola,2007,20909684,73940,20,1
Angola,2006,20162340,70170,20,1
Angola,2005,19450959,64009,19,1
Angola,2004,18771125,66585,18,1
Angola,2003,18124342,59438,18,1
Angola,2002,17516139,60505,17,1
Angola,2001,16941587,56959,16,1
Angola,2000,16394062,53527,16,1
Angola,1999,15870753,51687,15,1
Angola,1998,15366864,51856,15,1
Angola,1997,14871146,49960,14,1
Angola,1996,14383350,45356,14,1
Angola,1995,13912253,40855,13,1
Angola,1994,13462031,45272,13,1
Angola,1993,13038270,38883,13,1
Angola,1992,12632507,39196,12,1
Angola,1991,12228691,33925,12,1
Angola,1990,11828638,47663,11,1
Angola,1989,11439498,46755,11,1
Angola,1988,11060261,47815,11,1
Angola,1987,10694057,46192,10,1
Angola,1986,10332574,47774,10,1
Angola,1985,9970621,54953,9,1
Angola,1984,9617702,57744,9,1
Angola,1983,9276707,61000,9,1
Angola,1982,8947152,55830,8,1
Angola,1981,8631457,52138,8,1
Angola,1980,8330047,53078,8,1
Angola,1979,8043218,47175,8,1
Angola,1978,7771590,45001,7,1
Angola,1977,7511895,44937,7,1
Angola,1976,7266780,35245,7,1
Angola,1975,7032713,38725,7,1
Angola,1974,6802494,39146,6,1
Angola,1973,6578230,40182,6,1
Angola,1972,6364731,35014,6,1
Angola,1971,6177049,3219,6,1
Angola,1970,6029700,-36455,6,1
Angola,1969,5928386,-81748,5,1
Angola,1968,5868203,-111222,5,1
Angola,1967,5827503,-113780,5,1
Angola,1966,5787044,-104955,5,1
Angola,1965,5736582,-87288,5,1
Angola,1964,5673199,-71948,5,1
Angola,1963,5599827,-59777,5,1
Angola,1962,5521400,-54566,5,1
Angola,1961,5441333,-49186,5,1
Angola,1960,5357195,-43749,5,1
Argentina,2023,46654581,3718,46,1
Argentina,2022,46234830,3886,46,1
Argentina,2021,45808747,2344,45,1
Argentina,2020,45376763,2344,45,1
Argentina,2019,44938712,4478,44,1
Argentina,2018,44494502,4690,44,1
Argentina,2017,44044811,4926,44,1
Argentina,2016,43590368,5215,43,1
Argentina,2015,43131966,5522,43,1
Argentina,2014,42669500,5801,42,1
Argentina,2013,42202935,5369,42,1
Argentina,2012,41733271,3127,41,1
Argentina,2011,41261490,-1011,41,1
Argentina,2010,40788453,-4970,40,1
Argentina,2009,40684338,-7869,40,1
Argentina,2008,40273769,-12450,40,1
Argentina,2007,39876111,-18051,39,1
Argentina,2006,39476851,-19958,39,1
Argentina,2005,39070501,-21961,39,1
Argentina,2004,38668796,-22336,38,1
Argentina,2003,38278164,-22353,38,1
Argentina,2002,37885028,-22668,37,1
Argentina,2001,37480493,-22787,37,1
Argentina,2000,37070774,-22770,37,1
Argentina,1999,36653031,-20220,36,1
Argentina,1998,36233195,-20331,36,1
Argentina,1997,35815971,-20588,35,1
Argentina,1996,35389362,-20396,35,1
Argentina,1995,34946110,-19736,34,1
Argentina,1994,34488696,-18725,34,1
Argentina,1993,34027240,-16383,34,1
Argentina,1992,33568285,-13201,33,1
Argentina,1991,33105763,-8569,33,1
Argentina,1990,32637657,6021,32,1
Argentina,1989,32165766,20445,32,1
Argentina,1988,31690792,30243,31,1
Argentina,1987,31216453,32345,31,1
Argentina,1986,30748326,32496,30,1
Argentina,1985,30287112,31967,30,1
Argentina,1984,29832197,30810,29,1
Argentina,1983,29377137,29062,29,1
Argentina,1982,28922762,19326,28,1
Argentina,1981,28471285,10366,28,1
Argentina,1980,28024803,-3466,28,1
Argentina,1979,27584134,-10236,27,1
Argentina,1978,27146121,-14673,27,1
Argentina,1977,26713780,-14695,26,1
Argentina,1976,26290257,-10308,26,1
Argentina,1975,25875558,-5357,25,1
Argentina,1974,25449754,43652,25,1
Argentina,1973,25020588,39199,25,1
Argentina,1972,24612794,36601,24,1
Argentina,1971,24223379,36056,24,1
Argentina,1970,23842803,38356,23,1
Argentina,1969,23472028,40436,23,1
Argentina,1968,23112971,39985,23,1
Argentina,1967,22757014,37727,22,1
Argentina,1966,22403116,35529,22,1
Argentina,1965,22053661,33973,22,1
Argentina,1964,21708487,32322,21,1
Argentina,1963,21364017,30637,21,1
Argentina,1962,21020359,29386,21,1
Argentina,1961,20680653,29321,20,1
Argentina,1960,20349744,20399,20,1
Armenia,2023,2777970,-5000,2,1
Armenia,2022,2780469,-5000,2,1
Armenia,2021,2790974,-12825,2,1
Armenia,2020,2805608,-12825,2,1
Armenia,2019,2820602,-25363,2,1
Armenia,2018,2836557,-25835,2,1
Armenia,2017,2851923,-26326,2,1
Armenia,2016,2865835,-26804,2,1
Armenia,2015,2878595,-27283,2,1
Armenia,2014,2889930,-27763,2,1
Armenia,2013,2901385,-28257,2,1
Armenia,2012,2914421,-28731,2,1
Armenia,2011,2928976,-29214,2,1
Armenia,2010,2946293,-31991,2,1
Armenia,2009,2964296,-32000,2,1
Armenia,2008,2983421,-31822,2,1
Armenia,2007,3004393,-31530,3,1
Armenia,2006,3026486,-31302,3,1
Armenia,2005,3047246,-31023,3,1
Armenia,2004,3065745,-30623,3,1
Armenia,2003,3084102,-30238,3,1
Armenia,2002,3105037,-34971,3,1
Armenia,2001,3133133,-44486,3,1
Armenia,2000,3168523,-51873,3,1
Armenia,1999,3206030,-52843,3,1
Armenia,1998,3240550,-52266,3,1
Armenia,1997,3271418,-51638,3,1
Armenia,1996,3298898,-51023,3,1
Armenia,1995,3322782,-50217,3,1
Armenia,1994,3373713,-112567,3,1
Armenia,1993,3457349,-126968,3,1
Armenia,1992,3574555,-196273,3,1
Armenia,1991,3617631,5419,3,1
